Genre,Channel,Title,Views,Likes,Comments,Duration_Sec,Publish_Date
Science,Veritasium,What we learned from the 3-body problem,3832961,107377,5818,2153.0,2026-01-29T22:20:55Z
Science,Veritasium,How They Prevented The Citicorp Disaster,3420324,104227,1706,89.0,2026-01-22T14:01:23Z
Science,Veritasium,Filming Light at 1 Trillion FPS,6676671,156592,5614,1809.0,2026-01-19T18:53:55Z
Science,Veritasium,What happens if you cut the green rope?,27781273,394971,4315,67.0,2026-01-15T14:01:26Z
Science,Veritasium,You're Only 6 Steps Away From Anyone On Earth,3313692,102055,1210,74.0,2026-01-09T14:01:13Z
Science,Veritasium,The World's Most Important Machine,18755803,546870,24445,3300.0,2025-12-31T15:37:33Z
Science,Veritasium,The Future of Veritasium,4566133,406445,30588,1055.0,2025-12-24T14:29:28Z
Science,Veritasium,There Is Something Faster Than Light,10694035,244850,23322,2656.0,2025-12-19T06:03:02Z
Science,Veritasium,What is this strange pattern down the east coast of America?,1266145,44946,838,124.0,2025-12-11T14:01:33Z
Science,Veritasium,The Man Who Accidentally Discovered Antimatter,7141692,215459,11263,2123.0,2025-12-05T09:47:19Z
Science,Veritasium,I Turned My Phone Into A Microscope,1205339,42735,848,102.0,2025-11-27T15:04:19Z
Science,Veritasium,You've (Likely) Been Playing The Game of Life Wrong,8015299,206463,9575,2713.0,2025-11-26T21:45:00Z
Science,Veritasium,How Strong Is Super Glue?,2680369,51881,454,44.0,2025-11-21T14:47:27Z
Science,Veritasium,Why don't jet engines melt?,9796449,231419,10657,2374.0,2025-11-17T07:58:31Z
Science,Veritasium,Why People Are So Confident When They're Wrong,5404819,172754,11359,1442.0,2025-11-12T23:24:30Z
Science,Veritasium,Seeing Inside A Thermite Reaction,6199193,280318,3857,153.0,2025-11-10T14:07:17Z
Science,Veritasium,The Most Controversial Idea in Biology,7034268,227885,18911,1730.0,2025-10-31T22:42:09Z
Science,Veritasium,Why didn't this skateboard stunt start from the top?,2317000,40766,812,79.0,2025-10-29T16:03:24Z
Science,Veritasium,How To Solve a Quadratic Equation,4279081,141881,1769,154.0,2025-10-26T13:32:19Z
Science,Veritasium,How To See Atoms,8868325,228129,2110,64.0,2025-10-17T13:00:04Z
Science,Veritasium,Renting A Helicopter To Settle A Physics Debate,10055021,287925,6909,94.0,2025-10-09T14:01:34Z
Science,Veritasium,Something Strange Happens When You Trace How Connected We Are,9686547,265857,13205,1997.0,2025-09-30T22:00:54Z
Science,Veritasium,Alfred Nobel: The Man Who Fooled The World,9414522,205050,10894,2769.0,2025-09-21T14:13:30Z
Science,Veritasium,How to solve any maze,8496734,373926,2363,176.0,2025-09-18T13:00:02Z
Science,Veritasium,What Happens When You Spin a Football?,1958878,26521,681,118.0,2025-09-14T13:00:10Z
Science,Veritasium,The Most Dangerous Escalator in the World,12226087,297756,14351,1338.0,2025-09-11T14:22:52Z
Science,Veritasium,Exposing Why Farmers Can't Legally Replant Their Own Seeds,18710120,488045,39500,2819.0,2025-08-31T19:24:31Z
